Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,KB-71021-S-F,Upsherin Stickeez Single,Upsherin Stickeez Single,Upsherin Stickeez Single,Upsherin Stickeez Single,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754891,789185754891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-71021-S-B,Kindertown Stickeez Single,Kindertown Stickeez Single,Kindertown Stickeez Single,Kindertown Stickeez Single,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,602401930339,602401930339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-71021-B,Community Chesed Stickeez Book,Community Chesed Stickeez Book,Community Chesed Stickeez Book,Community Chesed Stickeez Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,602401930353,602401930353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SBN-SBS,Shabbos Sticker By Number,Shabbos Sticker By Number,Shabbos Sticker By Number,Shabbos Sticker By Number,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962217,760354962217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-07,Sukkah Mosaic Foam Fun Small,Sukkah Mosaic Foam Fun Small,Sukkah Mosaic Foam Fun Small,Sukkah Mosaic Foam Fun Small,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185753993,789185753993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-COLB-BRCS,Brachos Coloring Book,Brachos Coloring Book,Brachos Coloring Book,Brachos Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754082,789185754082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JMB-04,R' Yehudah Ben Teimah Jumbo Sticker Puzzle,R' Yehudah Ben Teimah Jumbo Sticker Puzzle,R' Yehudah Ben Teimah Jumbo Sticker Puzzle,R' Yehudah Ben Teimah Jumbo Sticker Puzzle,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754266,789185754266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-71021-S-E,Baby Stickeez Single,Baby Stickeez Single,Baby Stickeez Single,Baby Stickeez Single,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754372,789185754372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-AB-CRD,Alef Beis Discovery Cards,Alef Beis Discovery Cards,Alef Beis Discovery Cards,Alef Beis Discovery Cards,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754471,789185754471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-AB-VEL,Alef Beis Velvet Poster,Alef Beis Velvet Poster,Alef Beis Velvet Poster,Alef Beis Velvet Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754730,789185754730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-15,Stick A Stud,Stick A Stud,Stick A Stud,Stick A Stud,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754822,789185754822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-71026-A,Alef Beis Scratch Stickers,Alef Beis Scratch Stickers,Alef Beis Scratch Stickers,Alef Beis Scratch Stickers,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,881314992812,881314992812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SPS-USHP,Ushpizin sticker puzzle set,Ushpizin sticker puzzle set,Ushpizin sticker puzzle set,Ushpizin sticker puzzle set,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185753955,789185753955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-BRCS-MWA,Brachos Magic Water Poster,Brachos Magic Water Poster,Brachos Magic Water Poster,Brachos Magic Water Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754068,789185754068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JMB-02,Kayol Tarog Jumbo Sticker Puzzle,Kayol Tarog Jumbo Sticker Puzzle,Kayol Tarog Jumbo Sticker Puzzle,Kayol Tarog Jumbo Sticker Puzzle,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754624,789185754624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SEW-TOR,Torah Sew Fun,Torah Sew Fun,Torah Sew Fun,Torah Sew Fun,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962194,760354962194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-BB-SUK,Blow Pens Sukkos,Blow Pens Sukkos,Blow Pens Sukkos,Blow Pens Sukkos,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625158566,679625158566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SP-SUK-LG,Sukkos Sticker Puzzle Full page,Sukkos Sticker Puzzle Full page,Sukkos Sticker Puzzle Full page,Sukkos Sticker Puzzle Full page,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625220065,679625220065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-MPW-BH,Mega PaintWorks Beis Hamikdash,Mega PaintWorks Beis Hamikdash,Mega PaintWorks Beis Hamikdash,Mega PaintWorks Beis Hamikdash,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625256286,679625256286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-CB-HS,Hilchos Shabbos Coloring Book,Hilchos Shabbos Coloring Book,Hilchos Shabbos Coloring Book,Hilchos Shabbos Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625274266,679625274266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SSS-SUK2,Sticker Stacker- R' Yehudah,Sticker Stacker- R' Yehudah,Sticker Stacker- R' Yehudah,Sticker Stacker- R' Yehudah,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625287846,679625287846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-PWW-FT,Funtime Paint with Water,Funtime Paint with Water,Funtime Paint with Water,Funtime Paint with Water,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625301146,679625301146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-MPW-YRS,Maga PaintWorks Yerushalayim,Maga PaintWorks Yerushalayim,Maga PaintWorks Yerushalayim,Maga PaintWorks Yerushalayim,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625447097,679625447097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-CB-MN,Mitzvah Notes Colorign Book,Mitzvah Notes Colorign Book,Mitzvah Notes Colorign Book,Mitzvah Notes Colorign Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625476820,679625476820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-CB-TNC,Trace N Color Book Mitzvos,Trace N Color Book Mitzvos,Trace N Color Book Mitzvos,Trace N Color Book Mitzvos,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,679625497160,679625497160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SMZ-NPRG,Napkin Rings,Napkin Rings,Napkin Rings,Napkin Rings,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962415,760354962415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-RESS-PRK,Park Stickeez - Reusable Stickers,Park Stickeez - Reusable Stickers,Park Stickeez - Reusable Stickers,Park Stickeez - Reusable Stickers,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962743,760354962743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-RESS-DRUP,Middos Menchies Dressup Single,Middos Menchies Dressup Single,Middos Menchies Dressup Single,Middos Menchies Dressup Single,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962750,760354962750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JCB-PSC,Pesach Jumbo Coloring Book,Pesach Jumbo Coloring Book,Pesach Jumbo Coloring Book,Pesach Jumbo Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963108,760354963108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-CBN-YR,Color by Number Mitzvos,Color by Number Mitzvos,Color by Number Mitzvos,Color by Number Mitzvos,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963122,760354963122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-CBN-JRYR,Color by Number Junior,Color by Number Junior,Color by Number Junior,Color by Number Junior,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963139,760354963139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-COLB-TSHR,Tishrei Coloring book,Tishrei Coloring book,Tishrei Coloring book,Tishrei Coloring book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963146,760354963146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SAS-SET1,Stick A Stud Set Sukkos,Stick A Stud Set Sukkos,Stick A Stud Set Sukkos,Stick A Stud Set Sukkos,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963153,760354963153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SSS-SUK1,Sticker Stacker- Music,Sticker Stacker- Music,Sticker Stacker- Music,Sticker Stacker- Music,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963160,760354963160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-SNS,Seek N Stick Sukkos,Seek N Stick Sukkos,Seek N Stick Sukkos,Seek N Stick Sukkos,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354963177,760354963177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SMZ-NPF,Nachas Frame,Nachas Frame,Nachas Frame,Nachas Frame,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962392,760354962392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-TAP-SBS,Shabbos Tapetastic,Shabbos Tapetastic,Shabbos Tapetastic,Shabbos Tapetastic,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962538,760354962538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-MWAB-SBS,M. Menchies Shabbos Magic Water Book,M. Menchies Shabbos Magic Water Book,M. Menchies Shabbos Magic Water Book,M. Menchies Shabbos Magic Water Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962712,760354962712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
