Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,STR-500,CAHNUKAH STRAWS DREIDEL,CAHNUKAH STRAWS DREIDEL,CAHNUKAH STRAWS DREIDEL,CAHNUKAH STRAWS DREIDEL,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076433169,5060076433169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,foam letters,foam letters,foam letters,foam letters,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076434364,5060076434364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BEDIKAS CHAMETZ KIT,BEDIKAS CHAMETZ KIT,BEDIKAS CHAMETZ KIT,BEDIKAS CHAMETZ KIT,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076434593,5060076434593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FS-1001,Dreidel Fidget Tracks,Dreidel Fidget Tracks,Dreidel Fidget Tracks,Dreidel Fidget Tracks,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076435088,5060076435088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GT-6012,GIFT TAGS,GIFT TAGS,GIFT TAGS,GIFT TAGS,Others,Purim,Purim Crafts,Cazenove,Cazenove,5060076435255,5060076435255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nys-1001,shofer,shofer,shofer,shofer,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076435651,5060076435651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BUBBLES,BUBBLES,BUBBLES,BUBBLES,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076435941,5060076435941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sukkah paper chain decoration,sukkah paper chain decoration,sukkah paper chain decoration,sukkah paper chain decoration,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076436344,5060076436344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shana tova cards,shana tova cards,shana tova cards,shana tova cards,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076436405,5060076436405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stickers,stickers,stickers,stickers,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076437174,5060076437174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
