Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,#15326,COLLEGE RULED PAPER,COLLEGE RULED PAPER,COLLEGE RULED PAPER,COLLEGE RULED PAPER,School Supplies,,School Supplies,Mead,Mead,43100153269,43100153269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOFT COVER #29028 200 SHEET CAPACITY,"MEAD 1"" CUSTOMIZABLE BINDER","MEAD 1"" CUSTOMIZABLE BINDER","MEAD 1"" CUSTOMIZABLE BINDER","MEAD 1"" CUSTOMIZABLE BINDER",School Supplies,,,Mead,Mead,43100290285,43100290285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVE STAR ZIPPER BINDER,FIVE STAR ZIPPER BINDER,FIVE STAR ZIPPER BINDER,FIVE STAR ZIPPER BINDER,School Supplies,,Binders,Mead,Mead,43100291923,43100291923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 pocket folder,2 pocket folder,2 pocket folder,2 pocket folder,School Supplies,,,Mead,Mead,43100330554,43100330554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Five Star 2 Pocket Customizable Folder,Five Star 2 Pocket Customizable Folder,Five Star 2 Pocket Customizable Folder,Five Star 2 Pocket Customizable Folder,School Supplies,,,Mead,Mead,43100336273,43100336273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4 POCKET FOLDER,4 POCKET FOLDER,4 POCKET FOLDER,4 POCKET FOLDER,School Supplies,,,Mead,Mead,43100337799,43100337799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#34060,FIVE STAR REPORT COVER,FIVE STAR REPORT COVER,FIVE STAR REPORT COVER,FIVE STAR REPORT COVER,School Supplies,,,Mead,Mead,43100340607,43100340607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2POCKET FOLDER,2POCKET FOLDER,2POCKET FOLDER,2POCKET FOLDER,School Supplies,,Binders,Mead,Mead,43100344155,43100344155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVESTAR 2 POCKET FOLDER WIT,FIVESTAR 2 POCKET FOLDER WIT,FIVESTAR 2 POCKET FOLDER WIT,FIVESTAR 2 POCKET FOLDER WIT,School Supplies,,,Mead,Mead,43100344193,43100344193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVE STAR 2 POCKET FOLDER WITH PRONG,FIVE STAR 2 POCKET FOLDER WITH PRONG,FIVE STAR 2 POCKET FOLDER WITH PRONG,FIVE STAR 2 POCKET FOLDER WITH PRONG,School Supplies,,Binders,Mead,Mead,43100344230,43100344230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
