Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,BBBO,Comic Broken Bonds,Comic Broken Bonds,Comic Broken Bonds,Comic Broken Bonds,Others,Comics Books,Lchaim,Lchaim,9798893260212,9798893260212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHC,Comic Hunted in Congo,Comic Hunted in Congo,Comic Hunted in Congo,Comic Hunted in Congo,Others,Comics Books,Lchaim,Lchaim,9798893261059,9798893261059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRSS,Comic Rabi Shmuel Satan,Comic Rabi Shmuel Satan,Comic Rabi Shmuel Satan,Comic Rabi Shmuel Satan,Others,Comics Books,Lchaim,Lchaim,9798893260892,9798893260892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTBC,Comic The Beilis Conspiracy,Comic The Beilis Conspiracy,Comic The Beilis Conspiracy,Comic The Beilis Conspiracy,Others,Comics Books,Lchaim,Lchaim,9798893260915,9798893260915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLK,Comic The Legendary King,Comic The Legendary King,Comic The Legendary King,Comic The Legendary King,Others,Comics Books,Lchaim,Lchaim,9798893261288,9798893261288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDC,Der Conflict,Der Conflict,Der Conflict,Der Conflict,Others,Comics Books,Lchaim,Lchaim,9798893260502,9798893260502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGIV,Gefangen in de Vulkenes,Gefangen in de Vulkenes,Gefangen in de Vulkenes,Gefangen in de Vulkenes,Others,Comics Books,Lchaim,Lchaim,9798893260564,9798893260564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGIM,Geheimnus In Moskeva,Geheimnus In Moskeva,Geheimnus In Moskeva,Geheimnus In Moskeva,Others,Comics Books,Lchaim,Lchaim,9798893260236,9798893260236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BJG,Jewish Gauchos,Jewish Gauchos,Jewish Gauchos,Jewish Gauchos,Others,Comics Books,Lchaim,Lchaim,9798893260298,9798893260298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLME,Le'arsi's Mysterious Expedition,Le'arsi's Mysterious Expedition,Le'arsi's Mysterious Expedition,Le'arsi's Mysterious Expedition,Others,Comics Books,Lchaim,Lchaim,9798893260304,9798893260304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
