Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,780-4654,SCENTED PLAY-DOH INTERACTIVE PLUSH,SCENTED PLAY-DOH INTERACTIVE PLUSH,SCENTED PLAY-DOH INTERACTIVE PLUSH,SCENTED PLAY-DOH INTERACTIVE PLUSH,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,810176934166,810176934166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,play-doh tool bench,play-doh tool bench,play-doh tool bench,play-doh tool bench,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996247476,5010996247476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH RAIMBOW SWIRLICE CREAM PLAYSET,PLAY-DOH RAIMBOW SWIRLICE CREAM PLAYSET,PLAY-DOH RAIMBOW SWIRLICE CREAM PLAYSET,PLAY-DOH RAIMBOW SWIRLICE CREAM PLAYSET,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996247544,5010996247544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magical Mixer Playset Play-Doh,Magical Mixer Playset Play-Doh,Magical Mixer Playset Play-Doh,Magical Mixer Playset Play-Doh,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010994111861,5010994111861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magical Sparkle Compound Play-Doh,Magical Sparkle Compound Play-Doh,Magical Sparkle Compound Play-Doh,Magical Sparkle Compound Play-Doh,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993954582,5010993954582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Play-Doh,Play-Doh,Play-Doh,Play-Doh,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996232632,5010996232632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kitchen creations play-Doh,Kitchen creations play-Doh,Kitchen creations play-Doh,Kitchen creations play-Doh,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,LPNRRIX1279499,LPNRRIX1279499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH STARTERS,PLAY-DOH STARTERS,PLAY-DOH STARTERS,PLAY-DOH STARTERS,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996270764,5010996270764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F73815L00,"Play-Doh Imagine Animals Storage Set, Kids Toys","Play-Doh Imagine Animals Storage Set, Kids Toys","Play-Doh Imagine Animals Storage Set, Kids Toys","Play-Doh Imagine Animals Storage Set, Kids Toys",Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996161949,5010996161949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH KITCHEN CREATIONS BUSY CHEF'S RESTAURANT PLAYSET,PLAY-DOH KITCHEN CREATIONS BUSY CHEF'S RESTAURANT PLAYSET,PLAY-DOH KITCHEN CREATIONS BUSY CHEF'S RESTAURANT PLAYSET,PLAY-DOH KITCHEN CREATIONS BUSY CHEF'S RESTAURANT PLAYSET,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996245458,5010996245458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH PANCAKE PARTY,PLAY-DOH PANCAKE PARTY,PLAY-DOH PANCAKE PARTY,PLAY-DOH PANCAKE PARTY,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993779741,5010993779741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH CABINET DENTAIRE,PLAY-DOH CABINET DENTAIRE,PLAY-DOH CABINET DENTAIRE,PLAY-DOH CABINET DENTAIRE,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993791835,5010993791835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH NUMBERS AND SHAPES,PLAY-DOH NUMBERS AND SHAPES,PLAY-DOH NUMBERS AND SHAPES,PLAY-DOH NUMBERS AND SHAPES,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996233394,5010996233394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH SHAPES,PLAY-DOH SHAPES,PLAY-DOH SHAPES,PLAY-DOH SHAPES,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996136435,5010996136435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,play-doh Animals,play-doh Animals,play-doh Animals,play-doh Animals,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996136411,5010996136411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E85305L27,Play-Doh Fundamentals Assortment,Play-Doh Fundamentals Assortment,Play-Doh Fundamentals Assortment,Play-Doh Fundamentals Assortment,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996136442,5010996136442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F88055L02,Play-Doh Fun Factory Starter Set,Play-Doh Fun Factory Starter Set,Play-Doh Fun Factory Starter Set,Play-Doh Fun Factory Starter Set,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996204646,5010996204646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G17615l00,Product Name: Play-Doh Rainbow Favors 50 Pack,Product Name: Play-Doh Rainbow Favors 50 Pack,Product Name: Play-Doh Rainbow Favors 50 Pack,Product Name: Play-Doh Rainbow Favors 50 Pack,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996316905,5010996316905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F9144-I,Play-Doh : School Activities Set,Play-Doh : School Activities Set,Play-Doh : School Activities Set,Play-Doh : School Activities Set,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010996232755,5010996232755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
