Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,MOUNTING TAPE,MOUNTING TAPE,MOUNTING TAPE,MOUNTING TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009802,764608009802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DUCT TAPE,DUCT TAPE,DUCT TAPE,DUCT TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009109,764608009109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Full Size Hot Melt Glue Sticks 5pk,Full Size Hot Melt Glue Sticks 5pk,Full Size Hot Melt Glue Sticks 5pk,Full Size Hot Melt Glue Sticks 5pk,Others,Glue & Tape,BAZIC,BAZIC,764608020944,764608020944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DUCT TAPE,DUCT TAPE,DUCT TAPE,DUCT TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009796,764608009796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRANSPARENT TAPE,TRANSPARENT TAPE,TRANSPARENT TAPE,TRANSPARENT TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009123,764608009123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hot melt glue sticks thick,Hot melt glue sticks thick,Hot melt glue sticks thick,Hot melt glue sticks thick,Others,Glue & Tape,BAZIC,BAZIC,764608020920,764608020920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PACKAGING TAPE,PACKAGING TAPE,PACKAGING TAPE,PACKAGING TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009215,764608009215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MASKING TAPE,MASKING TAPE,MASKING TAPE,MASKING TAPE,Others,Glue & Tape,BAZIC,BAZIC,764608009505,764608009505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FLUFFY AIR DRY MODELIN CLAY,FLUFFY AIR DRY MODELIN CLAY,FLUFFY AIR DRY MODELIN CLAY,FLUFFY AIR DRY MODELIN CLAY,Others,Modeling & Play-Doh,BAZIC,BAZIC,764608033524,764608033524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FLUFFY AIR DRY MODELING CLAY,FLUFFY AIR DRY MODELING CLAY,FLUFFY AIR DRY MODELING CLAY,FLUFFY AIR DRY MODELING CLAY,Others,Modeling & Play-Doh,BAZIC,BAZIC,764608033500,764608033500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,511,BAZIC Ruled Index Cards Book 3 X5 50 Count Assorted Color Ruled,BAZIC Ruled Index Cards Book 3 X5 50 Count Assorted Color Ruled,BAZIC Ruled Index Cards Book 3 X5 50 Count Assorted Color Ruled,BAZIC Ruled Index Cards Book 3 X5 50 Count Assorted Color Ruled,Others,Notebooks,BAZIC,BAZIC,764608005118,764608005118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SKETCH BOOK,SKETCH BOOK,SKETCH BOOK,SKETCH BOOK,Others,Notebooks,BAZIC,BAZIC,764608050453,764608050453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
