Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,2827,Bruder 02827 MACK Granite Tanker Truck,Bruder 02827 MACK Granite Tanker Truck,Bruder 02827 MACK Granite Tanker Truck,Bruder 02827 MACK Granite Tanker Truck,Others,Cars & Trucks,bruder,bruder,4001702028275,4001702028275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2830,Bruder Mack Granite Cattle Transport,Bruder Mack Granite Cattle Transport,Bruder Mack Granite Cattle Transport,Bruder Mack Granite Cattle Transport,Others,Cars & Trucks,bruder,bruder,4001702028305,4001702028305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3481,Roadster with Driver Blue,Roadster with Driver Blue,Roadster with Driver Blue,Roadster with Driver Blue,Others,Ride-On & Bikes,bruder,bruder,4001702034818,4001702034818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3571,Scania Super 560R Liebherr Crane,Scania Super 560R Liebherr Crane,Scania Super 560R Liebherr Crane,Scania Super 560R Liebherr Crane,Others,Emergency & Service Vehicles,bruder,bruder,4001702035716,4001702035716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3582,Scania Super 560R UPS Logistics Truck w/Forklift,Scania Super 560R UPS Logistics Truck w/Forklift,Scania Super 560R UPS Logistics Truck w/Forklift,Scania Super 560R UPS Logistics Truck w/Forklift,Others,Cars & Trucks,bruder,bruder,4001702035822,4001702035822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3710,TGS Cemnent Mixer,TGS Cemnent Mixer,TGS Cemnent Mixer,TGS Cemnent Mixer,Others,Emergency & Service Vehicles,bruder,bruder,4001702037109,4001702037109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3760,Bruder Garbage Truck Orange,Bruder Garbage Truck Orange,Bruder Garbage Truck Orange,Bruder Garbage Truck Orange,Others,Cars & Trucks,bruder,bruder,4001702037604,4001702037604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3766,Bruder MAN TGS Tipper Truck,Bruder MAN TGS Tipper Truck,Bruder MAN TGS Tipper Truck,Bruder MAN TGS Tipper Truck,Others,Cars & Trucks,bruder,bruder,4001702037666,4001702037666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3767,Man TGS Truck with Roll Off Container & Schaffer Compact Loader,Man TGS Truck with Roll Off Container & Schaffer Compact Loader,Man TGS Truck with Roll Off Container & Schaffer Compact Loader,Man TGS Truck with Roll Off Container & Schaffer Compact Loader,Others,Cars & Trucks,bruder,bruder,4001702037673,4001702037673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62733,Bruder Police Boat with Policeman,Bruder Police Boat with Policeman,Bruder Police Boat with Policeman,Bruder Police Boat with Policeman,Others,Emergency & Service Vehicles,bruder,bruder,4001702627331,4001702627331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2738,MAN Cement Mixer blue replacing,MAN Cement Mixer blue replacing,MAN Cement Mixer blue replacing,MAN Cement Mixer blue replacing,Others,Emergency & Service Vehicles,bruder,bruder,4001702027384,4001702027384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2546,RAM Rental Service w trailer / Mini Excavtor,RAM Rental Service w trailer / Mini Excavtor,RAM Rental Service w trailer / Mini Excavtor,RAM Rental Service w trailer / Mini Excavtor,Others,Emergency & Service Vehicles,bruder,bruder,4001702025465,4001702025465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3453,ROADMAX tractor w logging trailer,ROADMAX tractor w logging trailer,ROADMAX tractor w logging trailer,ROADMAX tractor w logging trailer,Others,Emergency & Service Vehicles,bruder,bruder,4001702034535,4001702034535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2831,MACK Granite Heavy tow truck w light and sound,MACK Granite Heavy tow truck w light and sound,MACK Granite Heavy tow truck w light and sound,MACK Granite Heavy tow truck w light and sound,Others,Cars & Trucks,bruder,bruder,4001702028312,4001702028312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2684,MB Sprinter Camper w driver,MB Sprinter Camper w driver,MB Sprinter Camper w driver,MB Sprinter Camper w driver,Others,Themed & Specialty Vehicles,bruder,bruder,4001702026844,4001702026844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3485,Roadster with Road Bike and Figure,Roadster with Road Bike and Figure,Roadster with Road Bike and Figure,Roadster with Road Bike and Figure,Others,Ride-On & Bikes,bruder,bruder,4001702034856,4001702034856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
