UPC Code,Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
786138701896,,3132,MODELING CLAY ICE CREAM,MODELING CLAY ICE CREAM,MODELING CLAY ICE CREAM,MODELING CLAY ICE CREAM,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702404,,3286 -(3285 SET OF 12),FUNFLUFF SAND BOTTLE,FUNFLUFF SAND BOTTLE,FUNFLUFF SAND BOTTLE,FUNFLUFF SAND BOTTLE,$1.29 Prizes,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138702404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086138804277,,3235,DRAW BOARD,DRAW BOARD,DRAW BOARD,DRAW BOARD,$1.29 Prizes,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,086138804277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702718,,3289,BATH CROC CUPS,BATH CROC CUPS,BATH CROC CUPS,BATH CROC CUPS,Others,Baby & Toddler Toys,Bath & Water Play,PLAYKIDIZ ,PLAYKIDIZ ,786138702718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702015,,PK-3214,ROLLING RATTLE BALLS,ROLLING RATTLE BALLS,ROLLING RATTLE BALLS,ROLLING RATTLE BALLS,Others,Baby & Toddler Toys,"Music, Sound & Sensory",PLAYKIDIZ ,PLAYKIDIZ ,786138702015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702725,,3290,BATH BOATS 3 PC SET,BATH BOATS 3 PC SET,BATH BOATS 3 PC SET,BATH BOATS 3 PC SET,Others,Baby & Toddler Toys,Bath & Water Play,PLAYKIDIZ ,PLAYKIDIZ ,786138702725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086138106821,,3007,"SENSORY BALLS 2.5""","SENSORY BALLS 2.5""","SENSORY BALLS 2.5""","SENSORY BALLS 2.5""",Others,Baby & Toddler Toys,"Music, Sound & Sensory",PLAYKIDIZ ,PLAYKIDIZ ,086138106821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086138802242,,3029,SENSORY TOYS,SENSORY TOYS,SENSORY TOYS,SENSORY TOYS,Others,Baby & Toddler Toys,"Music, Sound & Sensory",PLAYKIDIZ ,PLAYKIDIZ ,086138802242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138700905,,PK-3097,RING STACKER BUS,RING STACKER BUS,RING STACKER BUS,RING STACKER BUS,Others,Baby & Toddler Toys,Early Learning & Development,PLAYKIDIZ ,PLAYKIDIZ ,786138700905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702695,,3287,Ferris Wheel Suction Toy,Ferris Wheel Suction Toy,Ferris Wheel Suction Toy,Ferris Wheel Suction Toy,Others,Baby & Toddler Toys,Early Learning & Development,PLAYKIDIZ ,PLAYKIDIZ ,786138702695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702732,,3291,CUP STACKER,CUP STACKER,CUP STACKER,CUP STACKER,Others,Baby & Toddler Toys,Early Learning & Development,PLAYKIDIZ ,PLAYKIDIZ ,786138702732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138700882,,PK-3095,PLAYKIDZ SHAPE SORTER,PLAYKIDZ SHAPE SORTER,PLAYKIDZ SHAPE SORTER,PLAYKIDZ SHAPE SORTER,Others,Baby & Toddler Toys,Early Learning & Development,PLAYKIDIZ ,PLAYKIDIZ ,786138700882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
