Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,"Penson ""Bekaso"" 16GB MP3 Player- silver","Penson ""Bekaso"" 16GB MP3 Player- silver","Penson ""Bekaso"" 16GB MP3 Player- silver","Penson ""Bekaso"" 16GB MP3 Player- silver",,Audio & Music,Samvix,Samvix,637057969815,637057969815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Penson ""Master"" 16GB MP3 Player - Black","Penson ""Master"" 16GB MP3 Player - Black","Penson ""Master"" 16GB MP3 Player - Black","Penson ""Master"" 16GB MP3 Player - Black",,Audio & Music,Samvix,Samvix,637057969952,637057969952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BUNDLE - DYNAMITE 8GB MP3 / 10WT BT SPEAKER,BUNDLE - DYNAMITE 8GB MP3 / 10WT BT SPEAKER,BUNDLE - DYNAMITE 8GB MP3 / 10WT BT SPEAKER,BUNDLE - DYNAMITE 8GB MP3 / 10WT BT SPEAKER,,Audio & Music,Samvix,Samvix,637057969969,637057969969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Music Q4 Plus,Music Q4 Plus,Music Q4 Plus,Music Q4 Plus,,Audio & Music,Samvix,Samvix,637057970156,637057970156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MP3 PLAYER DYNAMITE 8GB - BLUE/WHITE,MP3 PLAYER DYNAMITE 8GB - BLUE/WHITE,MP3 PLAYER DYNAMITE 8GB - BLUE/WHITE,MP3 PLAYER DYNAMITE 8GB - BLUE/WHITE,,Audio & Music,Samvix,Samvix,637057970194,637057970194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q5 MP3,Q5 MP3,Q5 MP3,Q5 MP3,,Audio & Music,Samvix,Samvix,637057970279,637057970279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Music Q5 Lite,Music Q5 Lite,Music Q5 Lite,Music Q5 Lite,,Audio & Music,Samvix,Samvix,638455679344,638455679344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SAMVIX GLASBA 8 - SAMVIX GLASBA 8,SAMVIX GLASBA 8 - SAMVIX GLASBA 8,SAMVIX GLASBA 8 - SAMVIX GLASBA 8,SAMVIX GLASBA 8 - SAMVIX GLASBA 8,,Audio & Music,Samvix,Samvix,638455683105,638455683105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SAMVIX GLASBA 8 - Blue,SAMVIX GLASBA 8 - Blue,SAMVIX GLASBA 8 - Blue,SAMVIX GLASBA 8 - Blue,,Audio & Music,Samvix,Samvix,638455683129,638455683129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samvix IBusiness eXtra 16GB MP3 Player - Black,Samvix IBusiness eXtra 16GB MP3 Player - Black,Samvix IBusiness eXtra 16GB MP3 Player - Black,Samvix IBusiness eXtra 16GB MP3 Player - Black,,Audio & Music,Samvix,Samvix,638455683389,638455683389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SAMVIX SMARTBASS 7.0 32GB - Black,SAMVIX SMARTBASS 7.0 32GB - Black,SAMVIX SMARTBASS 7.0 32GB - Black,SAMVIX SMARTBASS 7.0 32GB - Black,,Audio & Music,Samvix,Samvix,638455683440,638455683440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
