Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,3129-R,Toddler Swing Seat -Bucket Swing - Red,Toddler Swing Seat -Bucket Swing - Red,Toddler Swing Seat -Bucket Swing - Red,Toddler Swing Seat -Bucket Swing - Red,Others,Sports & Active Play,NEW BOUNCE,,786138806997,786138806997,,,,,,,,,,,,,,,,,,,14,12,10,,8,,,,,,,,,,,,,,,,,,
,3130-G,Swing Seat - Outdoor Belt Swing - Green,Swing Seat - Outdoor Belt Swing - Green,Swing Seat - Outdoor Belt Swing - Green,Swing Seat - Outdoor Belt Swing - Green,Others,Sports & Active Play,NEW BOUNCE,,786138803163,786138803163,,,,,,,,,,,,,,,,,,,16,12,8,,5,,,,,,,,,,,,,,,,,,
,3131-R,Swing Seat - Outdoor Belt Swing - Red,Swing Seat - Outdoor Belt Swing - Red,Swing Seat - Outdoor Belt Swing - Red,Swing Seat - Outdoor Belt Swing - Red,Others,Sports & Active Play,NEW BOUNCE,,786138803170,786138803170,,,,,,,,,,,,,,,,,,,12,8,10,,5,,,,,,,,,,,,,,,,,,
,3134-BK,GoScoot Max Kick Scooter - Black,GoScoot Max Kick Scooter - Black,GoScoot Max Kick Scooter - Black,GoScoot Max Kick Scooter - Black,Others,Sports & Active Play,NEW BOUNCE,,786138808052,786138808052,,,,,,,,,,,,,,,,,,,22,12,7,,6,,,,,,,,,,,,,,,,,,
,3134-BL,GoScoot Max Kick Scooter - Blue,GoScoot Max Kick Scooter - Blue,GoScoot Max Kick Scooter - Blue,GoScoot Max Kick Scooter - Blue,Others,Sports & Active Play,NEW BOUNCE,,786138803668,786138803668,,,,,,,,,,,,,,,,,,,22,12,7,,6,,,,,,,,,,,,,,,,,,
,3134-G,GoScoot Max Kick Scooter - Green,GoScoot Max Kick Scooter - Green,GoScoot Max Kick Scooter - Green,GoScoot Max Kick Scooter - Green,Others,Sports & Active Play,NEW BOUNCE,,786138808045,786138808045,,,,,,,,,,,,,,,,,,,22,12,7,,6,,,,,,,,,,,,,,,,,,
,3134-P,GoScoot Max Kick Scooter - Pink,GoScoot Max Kick Scooter - Pink,GoScoot Max Kick Scooter - Pink,GoScoot Max Kick Scooter - Pink,Others,Sports & Active Play,NEW BOUNCE,,786138803675,786138803675,,,,,,,,,,,,,,,,,,,22,12,7,,6,,,,,,,,,,,,,,,,,,
,3134-PL,GoScoot Max Kick Scooter - Purple,GoScoot Max Kick Scooter - Purple,GoScoot Max Kick Scooter - Purple,GoScoot Max Kick Scooter - Purple,Others,Sports & Active Play,NEW BOUNCE,,786138808038,786138808038,,,,,,,,,,,,,,,,,,,22,12,7,,6,,,,,,,,,,,,,,,,,,
,3134-R,GoScoot Max Kick Scooter - Red,GoScoot Max Kick Scooter - Red,GoScoot Max Kick Scooter - Red,GoScoot Max Kick Scooter - Red,Others,Sports & Active Play,NEW BOUNCE,,786138803682,786138803682,,,,,,,,,,,,,,,,,,,22,12,7,,6,,,,,,,,,,,,,,,,,,
,3135-R,Pedal Fly Scooter - Red,Pedal Fly Scooter - Red,Pedal Fly Scooter - Red,Pedal Fly Scooter - Red,Others,Sports & Active Play,NEW BOUNCE,,786138803699,786138803699,,,,,,,,,,,,,,,,,,,23,12,6,,6,,,,,,,,,,,,,,,,,,
,3143-G,Heel Wheels with Flashing Lights - Green,Heel Wheels with Flashing Lights - Green,Heel Wheels with Flashing Lights - Green,Heel Wheels with Flashing Lights - Green,Others,Sports & Active Play,NEW BOUNCE,,786138804757,786138804757,,,,,,,,,,,,,,,,,,,3,2,2,,2,,,,,,,,,,,,,,,,,,
,3143-P,Heel Wheels with Flashing Lights - Purple,Heel Wheels with Flashing Lights - Purple,Heel Wheels with Flashing Lights - Purple,Heel Wheels with Flashing Lights - Purple,Others,Sports & Active Play,NEW BOUNCE,,786138804764,786138804764,,,,,,,,,,,,,,,,,,,2,2,2,,2,,,,,,,,,,,,,,,,,,
,3144-G,Heel Wheels - Green,Heel Wheels - Green,Heel Wheels - Green,Heel Wheels - Green,Others,Sports & Active Play,NEW BOUNCE,,786138804771,786138804771,,,,,,,,,,,,,,,,,,,2,2,2,,2,,,,,,,,,,,,,,,,,,
,3144-P,Heel Wheels - Purple,Heel Wheels - Purple,Heel Wheels - Purple,Heel Wheels - Purple,Others,Sports & Active Play,NEW BOUNCE,,786138804788,786138804788,,,,,,,,,,,,,,,,,,,2,2,2,,2,,,,,,,,,,,,,,,,,,
,3145-G,Bouncing Shoes - Green,Bouncing Shoes - Green,Bouncing Shoes - Green,Bouncing Shoes - Green,Others,Sports & Active Play,NEW BOUNCE,,786138804795,786138804795,,,,,,,,,,,,,,,,,,,16,12,8,,6,,,,,,,,,,,,,,,,,,
,3145-P,Bouncing Shoes - Purple,Bouncing Shoes - Purple,Bouncing Shoes - Purple,Bouncing Shoes - Purple,Others,Sports & Active Play,NEW BOUNCE,,786138804801,786138804801,,,,,,,,,,,,,,,,,,,16,12,8,,6,,,,,,,,,,,,,,,,,,
,3146-BK,New Goscoot Ultimate Kick Scooter - Black,New Goscoot Ultimate Kick Scooter - Black,New Goscoot Ultimate Kick Scooter - Black,New Goscoot Ultimate Kick Scooter - Black,Others,Sports & Active Play,NEW BOUNCE,,786138804818,786138804818,,,,,,,,,,,,,,,,,,,30,10,5,,6,,,,,,,,,,,,,,,,,,
,3146-BL,New Goscoot Ultimate Kick Scooter - Blue,New Goscoot Ultimate Kick Scooter - Blue,New Goscoot Ultimate Kick Scooter - Blue,New Goscoot Ultimate Kick Scooter - Blue,Others,Sports & Active Play,NEW BOUNCE,,786138804825,786138804825,,,,,,,,,,,,,,,,,,,12,5,5,,6,,,,,,,,,,,,,,,,,,
,3146-P,New Goscoot Ultimate Kick Scooter - Pink,New Goscoot Ultimate Kick Scooter - Pink,New Goscoot Ultimate Kick Scooter - Pink,New Goscoot Ultimate Kick Scooter - Pink,Others,Sports & Active Play,NEW BOUNCE,,786138804832,786138804832,,,,,,,,,,,,,,,,,,,38,10,5,,6,,,,,,,,,,,,,,,,,,
,3147-BG,Pogo Hopper Black and Green,Pogo Hopper Black and Green,Pogo Hopper Black and Green,Pogo Hopper Black and Green,Others,Sports & Active Play,NEW BOUNCE,,786138805938,786138805938,,,,,,,,,,,,,,,,,,,14,12,1,,1,,,,,,,,,,,,,,,,,,
,3147-G,Pogo Hopper - Grey,Pogo Hopper - Grey,Pogo Hopper - Grey,Pogo Hopper - Grey,Others,Sports & Active Play,NEW BOUNCE,,786138805310,786138805310,,,,,,,,,,,,,,,,,,,0,0,0,,1,,,,,,,,,,,,,,,,,,
,3147-P,Pogo Hopper - Pink,Pogo Hopper - Pink,Pogo Hopper - Pink,Pogo Hopper - Pink,Others,Sports & Active Play,NEW BOUNCE,,786138805327,786138805327,,,,,,,,,,,,,,,,,,,0,0,0,,1,,,,,,,,,,,,,,,,,,
,3168-G,Dual Electric Water Gun - Green,Dual Electric Water Gun - Green,Dual Electric Water Gun - Green,Dual Electric Water Gun - Green,Others,Sports & Active Play,NEW BOUNCE,,786138806966,786138806966,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
,3168-O,Dual Electric Water Gun - Orange,Dual Electric Water Gun - Orange,Dual Electric Water Gun - Orange,Dual Electric Water Gun - Orange,Others,Sports & Active Play,NEW BOUNCE,,786138806959,786138806959,,,,,,,,,,,,,,,,,,,17,8,4,,2,,,,,,,,,,,,,,,,,,
,3169-G,Electric Water Gun - Green,Electric Water Gun - Green,Electric Water Gun - Green,Electric Water Gun - Green,Others,Sports & Active Play,NEW BOUNCE,,786138806980,786138806980,,,,,,,,,,,,,,,,,,,17,7,3,,1,,,,,,,,,,,,,,,,,,
,3169-O,Electric Water Gun - Orange,Electric Water Gun - Orange,Electric Water Gun - Orange,Electric Water Gun - Orange,Others,Sports & Active Play,NEW BOUNCE,,786138806973,786138806973,,,,,,,,,,,,,,,,,,,18,7,3,,1,,,,,,,,,,,,,,,,,,
,3171-G,Electric Bumper Car - White,Electric Bumper Car - White,Electric Bumper Car - White,Electric Bumper Car - White,Others,Sports & Active Play,NEW BOUNCE,,786138807345,786138807345,,,,,,,,,,,,,,,,,,,30,19,10,,18,,,,,,,,,,,,,,,,,,
,3171-R,Electric Bumper Car - Red,Electric Bumper Car - Red,Electric Bumper Car - Red,Electric Bumper Car - Red,Others,Sports & Active Play,NEW BOUNCE,,786138807338,786138807338,,,,,,,,,,,,,,,,,,,30,19,10,,17,,,,,,,,,,,,,,,,,,
,3171-W,Electric Bumper Car - Green,Electric Bumper Car - Green,Electric Bumper Car - Green,Electric Bumper Car - Green,Others,Sports & Active Play,NEW BOUNCE,,786138807352,786138807352,,,,,,,,,,,,,,,,,,,30,19,10,,18,,,,,,,,,,,,,,,,,,
