Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,E172,SCHOOL SUPPLY SET-,SCHOOL SUPPLY SET-,SCHOOL SUPPLY SET-,SCHOOL SUPPLY SET-,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,709951192542,709951192542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WHITE T-SHIRT SET OF 5,WHITE T-SHIRT SET OF 5,WHITE T-SHIRT SET OF 5,WHITE T-SHIRT SET OF 5,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,709951192634,709951192634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HEADBAND,HEADBAND,HEADBAND,HEADBAND,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262328,687077262328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL SHOES,DOLL SHOES,DOLL SHOES,DOLL SHOES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262434,687077262434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#B120,"NYDC 11"" PINK STRIP DOLL","NYDC 11"" PINK STRIP DOLL","NYDC 11"" PINK STRIP DOLL","NYDC 11"" PINK STRIP DOLL",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,687077262731,687077262731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E143 on blister card,DOLL FEEDING SET #e143,DOLL FEEDING SET #e143,DOLL FEEDING SET #e143,DOLL FEEDING SET #e143,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,687077263189,687077263189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL SHIRT,DOLL SHIRT,DOLL SHIRT,DOLL SHIRT,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263820,687077263820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NYD COLLECTION SANDALS,NYD COLLECTION SANDALS,NYD COLLECTION SANDALS,NYD COLLECTION SANDALS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264025,687077264025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL HELMET,DOLL HELMET,DOLL HELMET,DOLL HELMET,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264230,687077264230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL PINK COAT,DOLL PINK COAT,DOLL PINK COAT,DOLL PINK COAT,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077261239,687077261239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
