Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,SLINKY,SLINKY,SLINKY,SLINKY,Others,Brain Teasers & Solo Play,Rhode Island,Rhode Island,97138600226,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TY-TOO12,(T) 12pc Handyman Tool Set,(T) 12pc Handyman Tool Set,(T) 12pc Handyman Tool Set,(T) 12pc Handyman Tool Set,Others,"Bricks, Blocks & Building Sets",Rhode Island,Rhode Island,97138932839,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GA-MINTU,"(T) Mini Tumbling Towers Game 3.75""","(T) Mini Tumbling Towers Game 3.75""","(T) Mini Tumbling Towers Game 3.75""","(T) Mini Tumbling Towers Game 3.75""",Others,"Bricks, Blocks & Building Sets",Rhode Island,Rhode Island,97138932150,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SQUIRT CALCULATOR,SQUIRT CALCULATOR,SQUIRT CALCULATOR,SQUIRT CALCULATOR,Others,Calculator,Rhode Island,Rhode Island,97138954428,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VE-PSCON,(T) 15pc Die-Cast Construction Vehicles Play Set,(T) 15pc Die-Cast Construction Vehicles Play Set,(T) 15pc Die-Cast Construction Vehicles Play Set,(T) 15pc Die-Cast Construction Vehicles Play Set,Others,Cars & Trucks,Rhode Island,Rhode Island,97138936424,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VE-PSMIL,(T) 15pc Die-Cast Military Play Set,(T) 15pc Die-Cast Military Play Set,(T) 15pc Die-Cast Military Play Set,(T) 15pc Die-Cast Military Play Set,Others,Cars & Trucks,Rhode Island,Rhode Island,97138929440,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VE-PSFIR,(T) 15pc Die-Cast Fire Fighter Play Set,(T) 15pc Die-Cast Fire Fighter Play Set,(T) 15pc Die-Cast Fire Fighter Play Set,(T) 15pc Die-Cast Fire Fighter Play Set,Others,Cars & Trucks,Rhode Island,Rhode Island,97138929426,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VE-DICAG,"(T) 10pc 2.75"" Die-Cast Race Car Set","(T) 10pc 2.75"" Die-Cast Race Car Set","(T) 10pc 2.75"" Die-Cast Race Car Set","(T) 10pc 2.75"" Die-Cast Race Car Set",Others,Cars & Trucks,Rhode Island,Rhode Island,97138639325,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PIRATE TEETH,PIRATE TEETH,PIRATE TEETH,PIRATE TEETH,Others,Character & Licensed Plush,Rhode Island,Rhode Island,97138954442,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GW-RIFI9,POLICE GUN TOY RIFLE,POLICE GUN TOY RIFLE,POLICE GUN TOY RIFLE,POLICE GUN TOY RIFLE,Others,Character & Licensed Plush,Rhode Island,Rhode Island,97138916006,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PIRATE 5PC SET,PIRATE 5PC SET,PIRATE 5PC SET,PIRATE 5PC SET,Others,Character Figures,Rhode Island,Rhode Island,97138795328,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PFQEA05,QUBZ EMOTICON,QUBZ EMOTICON,QUBZ EMOTICON,QUBZ EMOTICON,Others,Character Plush,Rhode Island,Rhode Island,97138842800,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIREMAN FIRST RESPONSE,FIREMAN FIRST RESPONSE,FIREMAN FIRST RESPONSE,FIREMAN FIRST RESPONSE,Others,Character Plush,Rhode Island,Rhode Island,97138916105,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STICKY HAND,STICKY HAND,STICKY HAND,STICKY HAND,Others,Community Helpers Play,Rhode Island,Rhode Island,97138610744,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCREAMERZ,SCREAMERZ,SCREAMERZ,SCREAMERZ,Others,Craft Kits Beads & DIY,Rhode Island,Rhode Island,97138768582,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101 PCS ART SET,101 PCS ART SET,101 PCS ART SET,101 PCS ART SET,Others,Craft Kits Beads & DIY,Rhode Island,Rhode Island,97138725202,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
